"","player_id","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team","name","team","pos","difficulty","opponents","venue","team_goals","opposition_goals","game_id"
"4593",460,1512,"2018-08-26T15:00:00Z","26 Aug 16:00",4,2,TRUE,3,0,4.5,-1585,13302,266,1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,23,4,"Christie","Fulham","Defender",2,"Burnley","H",4,4,3
"4594",460,2043,"2018-09-01T14:00:00Z","01 Sep 15:00",2,2,FALSE,4,0,4.4,-1554,11937,98,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,31,3,"Christie","Fulham","Defender",3,"Brighton","A",2,2,4
"4595",460,2580,"2018-09-15T14:00:00Z","15 Sep 15:00",3,0,FALSE,5,1,4.4,-1337,10676,66,1403,0,0,90,0,0,0,3,0,0,0,0,0,0,0,15,"27.0","22.5","2.0","5.2",0,0,0,7,6,2,0,0,36,31,0,0,0,0,3,0,0,1,2,460,45,13,"Christie","Fulham","Defender",5,"Man City","A",0,0,5
"4596",460,3117,"2018-09-22T11:30:00Z","22 Sep 12:30",1,1,TRUE,6,0,4.4,-551,10202,106,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,56,18,"Christie","Fulham","Defender",3,"Watford","H",1,1,6
"4597",460,3655,"2018-09-29T14:00:00Z","29 Sep 15:00",3,0,FALSE,7,0,4.3,-576,9657,45,621,0,0,82,0,0,0,3,0,0,0,1,0,0,0,7,"30.4","6.0","2.0","3.8",0,1,0,7,3,0,0,0,36,29,0,0,0,0,3,0,0,3,1,460,65,8,"Christie","Fulham","Defender",3,"Everton","A",0,0,7
"4598",460,4194,"2018-10-07T11:00:00Z","07 Oct 12:00",1,5,TRUE,8,0,4.3,-367,9318,63,430,0,0,90,0,0,0,5,0,0,0,0,0,0,0,20,"21.6","63.3","10.0","9.5",0,2,1,1,2,5,2,0,41,31,0,0,0,0,1,1,0,0,0,460,74,1,"Christie","Fulham","Defender",4,"Arsenal","H",1,1,8
"4599",460,4736,"2018-10-20T14:00:00Z","20 Oct 15:00",4,2,FALSE,9,0,4.3,-374,8973,158,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,83,5,"Christie","Fulham","Defender",2,"Cardiff","A",2,2,9
"4600",460,5282,"2018-10-27T14:00:00Z","27 Oct 15:00",0,3,TRUE,10,0,4.3,-343,8629,28,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,94,2,"Christie","Fulham","Defender",3,"Bournemouth","H",0,0,10
"4601",461,461,"2018-08-11T14:00:00Z","11 Aug 15:00",0,3,TRUE,1,0,4.5,0,13149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,4,6,"Durm","Huddersfield","Defender",4,"Chelsea","H",0,0,1
"4602",461,986,"2018-08-19T12:30:00Z","19 Aug 13:30",6,1,FALSE,2,0,4.5,-2802,10295,39,2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,18,13,"Durm","Huddersfield","Defender",5,"Man City","A",1,1,2
"4603",461,1513,"2018-08-25T14:00:00Z","25 Aug 15:00",0,0,TRUE,3,0,4.5,-2410,8015,21,2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,24,5,"Durm","Huddersfield","Defender",2,"Cardiff","H",0,0,3
"4604",461,2044,"2018-09-01T14:00:00Z","01 Sep 15:00",1,1,FALSE,4,1,4.5,-1002,7107,24,1026,0,0,14,0,0,0,0,0,0,0,0,0,0,0,9,"6.0","0.3","2.0","0.8",0,0,0,0,1,0,3,0,8,1,0,0,0,0,0,0,0,0,0,461,36,8,"Durm","Huddersfield","Defender",3,"Everton","A",1,1,4
"4605",461,2581,"2018-09-15T14:00:00Z","15 Sep 15:00",0,1,TRUE,5,0,4.5,-441,6790,50,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,44,7,"Durm","Huddersfield","Defender",2,"Crystal Palace","H",0,0,5
"4606",461,3118,"2018-09-22T14:00:00Z","22 Sep 15:00",3,1,FALSE,6,1,4.5,-432,6422,25,457,0,0,90,0,0,0,3,0,0,0,0,0,0,0,8,"11.2","15.2","1.0","2.7",0,1,0,4,2,1,0,0,20,13,0,0,0,0,1,0,1,1,1,461,57,11,"Durm","Huddersfield","Defender",3,"Leicester","A",1,1,6
"4607",461,3656,"2018-09-29T14:00:00Z","29 Sep 15:00",0,2,TRUE,7,1,4.5,-254,6218,32,286,0,0,90,0,0,0,2,0,0,0,0,0,0,0,12,"9.6","16.9","0.0","2.7",0,2,0,0,9,1,0,0,33,21,0,0,0,0,1,0,0,0,1,461,66,17,"Durm","Huddersfield","Defender",4,"Spurs","H",0,0,7
"4608",461,4195,"2018-10-06T14:00:00Z","06 Oct 15:00",1,1,FALSE,8,2,4.5,-166,6098,50,216,0,0,90,0,0,0,1,0,0,0,0,0,0,0,8,"12.4","16.9","22.0","5.1",0,1,0,4,3,1,0,0,38,24,0,0,0,0,1,0,1,1,0,461,72,4,"Durm","Huddersfield","Defender",2,"Burnley","A",1,1,8
"4609",461,4737,"2018-10-20T16:30:00Z","20 Oct 17:30",0,1,TRUE,9,2,4.5,-211,5940,48,259,0,0,90,0,0,0,1,0,0,0,0,0,0,0,11,"13.0","6.0","22.0","4.1",0,0,0,4,8,0,1,0,32,22,0,0,0,0,1,0,0,0,0,461,86,12,"Durm","Huddersfield","Defender",4,"Liverpool","H",0,0,9
"4610",461,5283,"2018-10-27T14:00:00Z","27 Oct 15:00",3,0,FALSE,10,1,4.4,-105,5860,61,166,0,0,90,0,0,0,3,0,0,0,0,0,0,0,18,"20.8","12.5","20.0","5.3",0,0,0,6,7,1,2,0,39,30,0,0,0,0,1,0,0,0,1,461,100,18,"Durm","Huddersfield","Defender",3,"Watford","A",0,0,10
"4611",462,462,"2018-08-12T12:30:00Z","12 Aug 13:30",4,0,TRUE,1,1,7.5,0,360763,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,"0.4","1.9","0.0","0.2",0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,1,0,1,0,462,5,19,"Shaqiri","Liverpool","Midfielder",2,"West Ham","H",4,4,1
"4612",462,987,"2018-08-20T19:00:00Z","20 Aug 20:00",0,2,FALSE,2,0,7.4,-93015,280921,3018,96033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,15,7,"Shaqiri","Liverpool","Midfielder",2,"Crystal Palace","A",2,2,2
"4613",462,1514,"2018-08-25T16:30:00Z","25 Aug 17:30",1,0,TRUE,3,0,7.3,-92797,192336,1217,94014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,25,3,"Shaqiri","Liverpool","Midfielder",2,"Brighton","H",1,1,3
"4614",462,2045,"2018-09-01T11:30:00Z","01 Sep 12:30",1,2,FALSE,4,1,7.2,-53732,142246,597,54329,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,"0.4","0.4","0.0","0.1",0,0,0,0,3,0,0,0,8,6,0,0,0,0,4,0,0,0,0,462,37,11,"Shaqiri","Liverpool","Midfielder",3,"Leicester","A",2,2,4
"4615",462,2582,"2018-09-15T11:30:00Z","15 Sep 12:30",1,2,FALSE,5,0,7.1,-22063,122305,573,22636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,48,17,"Shaqiri","Liverpool","Midfielder",4,"Spurs","A",2,2,5
"4616",462,3119,"2018-09-22T14:00:00Z","22 Sep 15:00",3,0,TRUE,6,7,7.1,-11476,111845,931,12407,0,0,45,0,2,0,0,0,0,0,0,0,0,0,21,"1.2","20.4","23.0","4.5",0,1,0,1,0,1,0,0,22,17,0,0,0,0,0,0,1,1,0,462,58,16,"Shaqiri","Liverpool","Midfielder",2,"Southampton","H",3,3,6
"4617",462,3657,"2018-09-29T16:30:00Z","29 Sep 17:30",1,1,FALSE,7,4,7.1,-1358,111670,2831,4189,0,0,24,0,1,0,0,0,0,0,0,0,0,0,7,"20.8","11.4","11.0","4.3",0,0,0,0,3,1,0,0,14,12,0,1,0,0,3,0,1,0,0,462,64,6,"Shaqiri","Liverpool","Midfielder",4,"Chelsea","A",1,1,7
"4618",462,4196,"2018-10-07T15:30:00Z","07 Oct 16:30",0,0,TRUE,8,0,7.1,-1401,111043,1987,3388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,76,13,"Shaqiri","Liverpool","Midfielder",5,"Man City","H",0,0,8
"4619",462,4738,"2018-10-20T16:30:00Z","20 Oct 17:30",0,1,FALSE,9,6,7,15273,129346,22409,7136,0,0,90,0,1,1,0,0,0,0,0,0,0,0,21,"28.0","25.2","28.0","8.1",0,0,0,2,7,2,0,0,63,55,0,0,0,0,2,1,0,1,1,462,86,10,"Shaqiri","Liverpool","Midfielder",2,"Huddersfield","A",1,1,9
"4620",462,5284,"2018-10-27T14:00:00Z","27 Oct 15:00",4,1,TRUE,10,6,7,11632,140574,20485,8853,0,0,29,1,0,0,1,0,0,0,0,0,0,0,24,"41.0","17.5","19.0","7.8",0,1,0,0,0,1,0,0,27,20,0,0,0,0,0,0,0,0,1,462,96,5,"Shaqiri","Liverpool","Midfielder",2,"Cardiff","H",4,4,10
"4621",463,463,"2018-08-12T12:30:00Z","12 Aug 13:30",0,0,TRUE,1,6,5,0,29273,0,0,0,0,90,0,0,1,0,0,0,0,0,0,0,0,23,"30.4","10.5","6.0","4.7",0,0,0,15,4,1,0,0,30,19,0,0,0,0,1,0,1,2,0,463,8,4,"Vestergaard","Southampton","Defender",2,"Burnley","H",0,0,1
"4622",463,988,"2018-08-18T14:00:00Z","18 Aug 15:00",2,1,FALSE,2,0,5,-179,32384,1597,1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,16,8,"Vestergaard","Southampton","Defender",3,"Everton","A",1,1,2
"4623",463,1515,"2018-08-25T14:00:00Z","25 Aug 15:00",1,2,TRUE,3,1,4.9,-6889,25543,415,7304,0,0,90,0,0,0,2,0,0,0,0,0,0,0,10,"5.2","0.8","4.0","1.0",0,0,0,2,1,0,0,0,52,46,0,0,0,0,1,0,1,0,1,463,28,11,"Vestergaard","Southampton","Defender",3,"Leicester","H",1,1,3
"4624",463,2046,"2018-09-01T14:00:00Z","01 Sep 15:00",0,2,FALSE,4,5,4.9,-2299,23951,620,2919,0,0,90,0,0,1,0,0,0,0,1,0,0,0,27,"28.4","0.6","0.0","2.9",0,0,0,10,2,0,1,0,41,37,0,0,0,0,0,0,0,1,0,463,35,7,"Vestergaard","Southampton","Defender",2,"Crystal Palace","A",2,2,4
"4625",463,2583,"2018-09-17T19:00:00Z","17 Sep 20:00",2,2,TRUE,5,1,4.9,-544,24085,1270,1814,0,0,90,0,0,0,2,0,0,0,0,0,0,0,14,"19.8","3.3","0.0","2.3",0,0,0,7,3,0,1,0,60,44,0,0,0,0,0,0,0,0,0,463,47,3,"Vestergaard","Southampton","Defender",2,"Brighton","H",2,2,5
"4626",463,3120,"2018-09-22T14:00:00Z","22 Sep 15:00",3,0,FALSE,6,1,4.9,-1739,22393,249,1988,0,0,90,0,0,0,3,0,0,0,0,0,0,0,18,"31.0","0.9","4.0","3.6",0,0,0,12,6,0,1,0,52,44,0,0,0,0,0,0,1,1,0,463,58,12,"Vestergaard","Southampton","Defender",5,"Liverpool","A",0,0,6
"4627",463,3658,"2018-09-29T14:00:00Z","29 Sep 15:00",2,0,FALSE,7,1,4.9,-1198,21381,252,1450,0,0,90,0,0,0,2,0,0,0,0,0,0,0,14,"17.4","4.0","13.0","3.4",0,0,0,6,4,0,2,0,47,40,0,0,0,0,0,0,1,3,0,463,70,20,"Vestergaard","Southampton","Defender",3,"Wolves","A",0,0,7
"4628",463,4197,"2018-10-07T13:15:00Z","07 Oct 14:15",0,3,TRUE,8,0,4.8,-1235,20219,117,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,78,6,"Vestergaard","Southampton","Defender",4,"Chelsea","H",0,0,8
"4629",463,4739,"2018-10-20T14:00:00Z","20 Oct 15:00",0,0,FALSE,9,0,4.8,-1493,18847,133,1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,82,2,"Vestergaard","Southampton","Defender",3,"Bournemouth","A",0,0,9
"4630",463,5285,"2018-10-27T14:00:00Z","27 Oct 15:00",0,0,TRUE,10,0,4.8,-1214,17721,77,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,98,15,"Vestergaard","Southampton","Defender",2,"Newcastle","H",0,0,10
"4631",464,464,"2018-08-12T12:30:00Z","12 Aug 13:30",4,0,FALSE,1,-1,4.5,0,16348,0,0,0,0,90,0,0,0,4,0,0,0,1,0,0,0,16,"21.4","0.0","17.0","3.8",0,0,0,10,2,0,2,0,36,34,0,0,0,0,0,0,0,2,0,464,5,12,"Balbuena","West Ham","Defender",5,"Liverpool","A",0,0,1
"4632",464,989,"2018-08-18T14:00:00Z","18 Aug 15:00",1,2,TRUE,2,1,4.5,-589,17317,1070,1659,0,0,90,0,0,0,2,0,0,0,0,0,0,0,12,"18.8","0.8","6.0","2.6",0,0,0,9,8,0,0,0,54,43,0,0,0,0,0,0,1,1,0,464,20,2,"Balbuena","West Ham","Defender",3,"Bournemouth","H",1,1,2
"4633",464,1516,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,FALSE,3,1,4.5,-2438,15152,303,2741,0,0,90,0,0,0,3,0,0,0,0,0,0,0,11,"20.2","0.4","2.0","2.3",0,0,0,11,3,0,0,0,23,17,0,0,0,0,0,0,0,1,0,464,21,1,"Balbuena","West Ham","Defender",4,"Arsenal","A",1,1,3
"4634",464,2047,"2018-09-01T14:00:00Z","01 Sep 15:00",0,1,TRUE,4,2,4.5,-793,14837,965,1758,0,0,90,0,0,0,1,0,0,0,0,0,0,0,25,"41.4","0.4","4.0","4.6",0,0,0,12,11,0,4,0,47,39,0,0,0,0,0,0,1,1,0,464,40,20,"Balbuena","West Ham","Defender",3,"Wolves","H",0,0,4
"4635",464,2584,"2018-09-16T15:00:00Z","16 Sep 16:00",1,3,FALSE,5,2,4.4,-1419,13566,262,1681,0,0,90,0,0,0,1,0,0,0,0,0,0,0,14,"20.8","0.1","0.0","2.1",0,0,0,12,3,0,1,0,27,20,0,0,0,0,0,0,0,1,0,464,43,8,"Balbuena","West Ham","Defender",3,"Everton","A",3,3,5
"4636",464,3121,"2018-09-23T12:30:00Z","23 Sep 13:30",0,0,TRUE,6,8,4.4,-574,13149,333,907,0,0,90,0,0,1,0,0,0,0,0,0,0,2,30,"23.6","10.3","0.0","3.4",0,0,0,14,7,1,1,0,26,20,0,0,0,0,0,0,0,0,0,464,60,6,"Balbuena","West Ham","Defender",4,"Chelsea","H",0,0,6
